date,person,experiment,split,mAP_macro,AP_occupied,AP_empty,free_slots_MAE,occupancy_MAE_pp,train_time,notes
2026-08-23,P1,Baseline A (đoán vị trí) [N_IMAGES=150 - đã thay bằng full data bên dưới],val,0.2447,0.4007,0.0887,13.0,46.43,0s,"cùng bãi UFPR04 khác ngày với train — leak nhẹ có chủ đích, dùng tham khảo"
2026-08-23,P1,Baseline A (đoán vị trí) [N_IMAGES=150 - đã thay bằng full data bên dưới],test,0.0,0.0,0.0,60.4,39.59,0s,PUCPR khác bãi hoàn toàn -> 0.00 đúng như kỳ vọng KE_HOACH §4 -> split hợp lệ
2026-08-23,P1,Baseline A (đoán vị trí) [full data - đã lấy mẫu thời gian - 579 ảnh],val,0.2122,0.2021,0.2224,9.04,32.28,0s,"579 ảnh (thay N_IMAGES=150): UFPR04=177(150 train/27 val)+UFPR05=192 train+PUCPR=210 test, temporal_subsample 120min"
2026-08-23,P1,Baseline A (đoán vị trí) [full data - đã lấy mẫu thời gian - 579 ảnh],test,0.0,0.0,0.0,51.87,48.11,0s,PUCPR khác bãi hoàn toàn -> 0.00 vẫn đúng ở scale lớn hơn -> split hợp lệ
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix UNKNOWN_OCCUPIED ignore-region],val,0.2122,0.2021,0.2224,9.04,32.28,0s,Số giống hệt dòng trên - baseline vốn không đoán vào vị trí unknown nên không đổi. Fix bảo vệ cho model thật sau này (xem report/data_processing_report.md)
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix UNKNOWN_OCCUPIED ignore-region],test,0.0,0.0,0.0,51.87,48.11,0s,Số giống hệt - đã verify qua self_test() case mới: prediction đúng vị trí ô unknown không bị tính false positive
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix chia ngày cân bằng thời tiết - 340/29/210],val,0.1529,0.1002,0.2056,8.24,29.47,0s,"val đổi từ 27->29 ảnh do chia lại theo thời tiết (mỗi loại Cloudy/Rainy/Sunny có ngày trong val) - mAP giảm nhẹ, không phải lỗi, chỉ do mẫu val khác đi"
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix chia ngày cân bằng thời tiết - 340/29/210],test,0.0,0.0,0.0,51.87,48.11,0s,"test không đổi (toàn bộ PUCPR, không phụ thuộc cách chia UFPR04) -> vẫn 0.00 đúng kỳ vọng"
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix vùng lề PUCPR chưa gán nhãn - unlabeled_margin_regions],val,0.1529,0.1002,0.2056,8.24,29.47,0s,"Số giống hệt - fix chỉ ảnh hưởng PUCPR (test), val (UFPR04) không đổi"
2026-08-23,P1,[CŨ - SỐ SAI - dùng dòng CHUẨN cuối file] Baseline A (đoán vị trí) [sau fix vùng lề PUCPR chưa gán nhãn - unlabeled_margin_regions],test,0.0,0.0,0.0,51.87,48.11,0s,"Số giống hệt - baselines.py vốn đã loại UNKNOWN_OCCUPIED (gồm cả vùng lề mới) khỏi memorize/predict. Fix quan trọng cho đánh giá model thật ở Ngày 12, không đổi baseline hiện tại. Phát hiện bằng cách vẽ nhãn lên ảnh thật (xem report/data_processing_report.md § 4)"
2026-08-23,P1,[CHUẨN] Baseline A (đoán vị trí) [SỬA LỚN: phát hiện camera UFPR04 xê dịch 2 lần + fix annotated_region đa kỳ + memorize theo kỳ camera],val,0.5176,0.3901,0.6451,7.17,25.64,0s,"Điểm THẬT khác hẳn số cũ 0.1529 (~3.4 lần) - số cũ sai vì memorize theo (lot,slot_id) áp nhầm vị trí kỳ camera này sang ảnh kỳ khác (~59% ảnh val khác kỳ với vị trí đã nhớ). Đã sửa: nhóm theo (lot,kỳ camera,slot_id). Cũng sửa annotated_region() dùng union nhiều ảnh đại diện (57/177 ảnh UFPR04 từng bị cắt cụt 1 ô do dùng 1 ảnh đại diện). Đã trích lại toàn bộ feature. Thêm baselines.self_test() chống tái phát."
2026-08-23,P1,[CHUẨN] Baseline A (đoán vị trí) [SỬA LỚN: phát hiện camera UFPR04 xê dịch 2 lần + fix annotated_region đa kỳ + memorize theo kỳ camera],test,0.0,0.0,0.0,51.87,48.11,0s,"test không đổi - PUCPR lệch 0px suốt toàn bộ thời gian (camera thật sự cố định), không dính vấn đề xê dịch camera của UFPR04"
2026-08-28,P4,Baseline B (Decision Tree),val,0.1654,0.1651,0.1657,83.03,14.21,463s,"DT max_depth=12 min_samples_leaf=50 class_weight=balanced score_thr=0.5; window_acc=0.9195 vs đoán bừa 0.8194 (window_acc CHỈ tham khảo, không phải chỉ số §5); train window_acc=0.9428"
2026-09-04,P4,"Random Forest [nms=0.45, phủ quyết nền BẬT]",val,0.2743,0.3031,0.2455,18.48,1.55,374s,"RF n_estimators=200 max_depth=None min_samples_leaf=10 class_weight=balanced_subsample score_thr=0.5 nms_iou=0.45; phủ quyết nền BẬT (đối chứng phía kia: mAP 0.2743); window_acc=0.9533 vs đoán bừa 0.8194 (window_acc CHỈ tham khảo, không phải chỉ số §5); train window_acc=0.9999"
